,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density
237,237,114.56,414.8453173,0.0,0.0,16,135.2022635,36.1159426,-0.5999727355862938
238,238,144.08,414.8453173,256.0,1434285.714,223,135.2200397,36.1159426,1.1833308415717365
239,239,133.71,411.4558003,22.0,1602926.829,65,135.237816,36.1159426,-0.1778380723942963
240,240,346.01,364.2206386,22.0,1494127.273,272,135.2555922,36.1159426,1.605465504763734
241,241,199.47,359.2543095,229.5,4520833.333,370,135.2733684,36.1159426,2.4497348311477296
242,242,13.34,237.3407132,0.0,0.0,17,135.2911446,36.1159426,-0.5913577424599266
243,243,2.35,312.4651166,541.0,0.0,4,135.3089209,36.1159426,-0.7033526531027015
244,244,3.33,359.7656668,0.0,0.0,5,135.3266971,36.1159426,-0.6947376599763341
245,245,0.0,359.7656668,0.0,0.0,1,135.3444733,36.1159426,-0.7291976324818034
246,246,0.0,359.7656668,0.0,0.0,2,135.3622495,36.1159426,-0.720582639355436
247,247,1.05,359.7656668,0.0,0.0,2,135.3800258,36.1159426,-0.720582639355436
248,248,0.0,0.0,0.0,0.0,0,135.397802,36.1159426,
249,249,0.0,0.0,0.0,0.0,0,135.4155782,36.1159426,
250,250,0.0,0.0,0.0,0.0,0,135.4333544,36.1159426,
251,251,0.0,0.0,0.0,0.0,0,135.4511307,36.1159426,
252,252,0.0,170.5634658,0.0,0.0,1,135.4689069,36.1159426,-0.7291976324818034
253,253,2.34,0.0,0.0,0.0,0,134.686753,36.13106409,
254,254,9.69,658.1882575,0.0,0.0,16,134.7045293,36.13106409,-0.5999727355862938
255,255,9.18,658.1882575,0.0,0.0,22,134.7223055,36.13106409,-0.5482827768280901
256,256,11.2,658.1882575,0.0,0.0,18,134.7400817,36.13106409,-0.5827427493335593
257,257,13.06,658.1882575,0.0,0.0,13,134.7578579,36.13106409,-0.6258177149653957
258,258,2.3,658.1882575,0.0,0.0,4,134.7756341,36.13106409,-0.7033526531027015
259,259,0.0,0.0,0.0,0.0,0,134.7934104,36.13106409,
260,260,2.18,658.1882575,0.0,0.0,3,134.8111866,36.13106409,-0.7119676462290687
261,261,2.7,857.4351293,0.0,0.0,5,134.8289628,36.13106409,-0.6947376599763341
262,262,8.94,737.5508495,0.0,0.0,12,134.846739,36.13106409,-0.634432708091763
263,263,3.78,780.3666637,0.0,0.0,8,134.8645153,36.13106409,-0.6688926805972323
