,town,Unnamed: 0,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density,GaussianMixture_result,Kmeans_result
47,新华路街道,47,0.0998840803709428,0.0480295566502463,0.2814415455569461,0.0661157024793388,0.2048517520215633,0.1959798994974874,0.0182186234817813,0.0523255813953488,0.1463414634146341,0.0494880546075085,0.0545144804088586,0.0247524752475247,0.0748299319727891,0.094420600858369,0.5534024714151146,2,8
48,新泾镇,48,0.0991112828438949,0.0344827586206896,0.2039156087609512,0.0433884297520661,0.307277628032345,0.1959798994974874,0.0283400809716599,0.1065891472868217,0.1869918699186991,0.0341296928327645,0.0323679727427597,0.0198019801980198,0.0997732426303854,0.0901287553648068,0.2051613886179906,0,2
49,真新街道,49,0.0987248840803709,0.1231527093596059,0.0959949937421777,0.0681818181818181,0.1239892183288409,0.057788944723618,0.034412955465587,0.0581395348837209,0.1436314363143631,0.083617747440273,0.0545144804088586,0.0049504950495049,0.1473922902494331,0.0472103004291845,0.3230736679101293,7,3
50,湖南路街道,50,0.097758887171561,0.084975369458128,0.2704286155193993,0.1301652892561983,0.1078167115902965,0.0678391959798995,0.0101214574898785,0.0445736434108527,0.1517615176151761,0.0443686006825938,0.0766609880749574,0.0594059405940594,0.0136054421768707,0.1630901287553648,0.3510388997519647,7,8
51,淮海中路街道,51,0.097758887171561,0.022167487684729,0.2170769016270338,0.0847107438016528,0.1805929919137466,0.1180904522613065,0.0020242914979757,0.067829457364341,0.1815718157181571,0.0699658703071672,0.100511073253833,0.099009900990099,0.0634920634920634,0.1072961373390558,0.6842643573349553,2,0
52,中山街道,52,0.0973724884080371,0.1330049261083744,0.0998702081351689,0.1033057851239669,0.2129380053908356,0.1030150753768844,0.0182186234817813,0.0484496124031007,0.1029810298102981,0.0426621160409556,0.0306643952299829,0.0247524752475247,0.0793650793650793,0.0772532188841201,0.0881140352888376,0,2
53,浦江镇,53,0.0962132921174652,0.001231527093596,0.1639549436795995,0.121900826446281,0.1509433962264151,0.1783919597989949,0.0546558704453441,0.0600775193798449,0.1517615176151761,0.0324232081911262,0.0323679727427597,0.0396039603960396,0.054421768707483,0.1630901287553648,0.0475895585761577,0,2
54,马陆镇,54,0.0946676970633694,0.0935960591133004,0.1066135300750938,0.1776859504132231,0.1401617250673854,0.1231155778894472,0.020242914979757,0.0426356589147286,0.1165311653116531,0.0426621160409556,0.0136286201022146,0.0198019801980198,0.0340136054421768,0.0987124463519313,0.050297521058897,0,2
55,盈浦街道,55,0.0933153013910355,0.0,0.0,0.0743801652892562,0.1293800539083558,0.1331658291457286,0.034412955465587,0.1492248062015503,0.2439024390243902,0.0784982935153583,0.1073253833049403,0.0148514851485148,0.0430839002267573,0.0343347639484978,0.1338252987734114,0,2
56,新虹街道,56,0.0904173106646058,0.0098522167487684,0.1199937421777221,0.0909090909090909,0.1913746630727762,0.0276381909547738,0.0445344129554655,0.0290697674418604,0.0921409214092141,0.0221843003412969,0.0306643952299829,0.0693069306930693,0.0430839002267573,0.03862660944206,0.0564841901414834,0,2
57,梅陇镇,57,0.0896445131375579,0.001231527093596,0.1576971214017521,0.0847107438016528,0.1805929919137466,0.2085427135678392,0.0506072874493927,0.0872093023255814,0.089430894308943,0.0426621160409556,0.0494037478705281,0.0495049504950495,0.0861678004535147,0.1545064377682403,0.2011850744834179,0,2
58,嘉定工业区,58,0.0879057187017001,0.1379310344827586,0.0984713034167709,0.0578512396694214,0.1159029649595687,0.1633165829145728,0.0364372469635627,0.0833333333333333,0.078590785907859,0.0238907849829351,0.0545144804088586,0.0099009900990099,0.0498866213151927,0.0472103004291845,0.0787209239595242,0,2
59,高境镇,59,0.0852009273570324,0.1391625615763546,0.1169825113266583,0.0888429752066115,0.1266846361185984,0.092964824120603,0.0445344129554655,0.1085271317829457,0.0975609756097561,0.0341296928327645,0.0289608177172061,0.0396039603960396,0.0362811791383219,0.0515021459227467,0.2975273672054808,7,3
60,田林街道,60,0.0842349304482225,0.0320197044334975,0.1258785020025031,0.0599173553719008,0.1994609164420485,0.1482412060301507,0.0161943319838056,0.0872093023255814,0.1788617886178861,0.0324232081911262,0.0340715502555366,0.0396039603960396,0.0657596371882086,0.055793991416309,0.4003656633917507,2,3
61,周家桥街道,61,0.0840417310664606,0.0554187192118226,0.1672090112640801,0.0971074380165289,0.0754716981132075,0.0527638190954773,0.0141700404858299,0.0775193798449612,0.1165311653116531,0.0563139931740614,0.0545144804088586,0.0148514851485148,0.0725623582766439,0.055793991416309,0.4819475863833882,2,3
62,曲阳路街道,62,0.0832689335394126,0.0,0.0,0.0826446280991735,0.1967654986522911,0.1557788944723618,0.020242914979757,0.0910852713178294,0.1571815718157181,0.0477815699658703,0.059625212947189,0.0099009900990099,0.0521541950113378,0.0429184549356223,0.5588498178729013,2,0
63,新桥镇,63,0.0815301391035548,0.0541871921182266,0.1241893275719649,0.0619834710743801,0.1913746630727762,0.0778894472361809,0.0546558704453441,0.0465116279069767,0.1246612466124661,0.0853242320819112,0.0323679727427597,0.0148514851485148,0.0861678004535147,0.0600858369098712,0.0721570173731903,0,2
64,佘山镇,64,0.0774729520865533,0.0591133004926108,0.1827284105131414,0.018595041322314,0.1024258760107816,0.0452261306532663,0.0040485829959514,0.0155038759689922,0.0921409214092141,0.0324232081911262,0.0034071550255536,0.0445544554455445,0.0408163265306122,0.2274678111587982,0.0187742052695781,4,2
65,大宁路街道,65,0.0772797527047913,0.0270935960591133,0.1463192627033792,0.0413223140495867,0.1617250673854447,0.1457286432160804,0.0121457489878542,0.0988372093023255,0.1355013550135501,0.0255972696245733,0.0408858603066439,0.0594059405940594,0.0680272108843537,0.0686695278969957,0.205219569078582,2,2
66,奉城镇,66,0.0767001545595054,0.0,0.0,0.1590909090909091,0.1778975741239892,0.2135678391959799,0.0182186234817813,0.1201550387596899,0.002710027100271,0.0563139931740614,0.0528109028960817,0.0099009900990099,0.0249433106575963,0.0600858369098712,0.0269129555682321,0,2
